Time;Temp;Luftfuktighet;Lutftryck;Vikt
2022-07-08 18:00:00.000;21,202068;49,3625;953,809333;121,226
2022-07-08 19:00:00.000;20,662068;49,374;952,478333;121,307457
2022-07-08 20:00:00.000;20,152068;49,3455;950,647833;121,572
2022-07-08 21:00:00.000;19,246206;49,313666;949,345;121,741666
2022-07-08 22:00:00.000;18,244827;49,184166;945,335166;122,443728
2022-07-08 23:00:00.000;17,296724;48,973666;941,6765;123,03
2022-07-09 00:00:00.000;16,698965;48,770677;939,033389;123,489491
2022-07-09 01:00:00.000;16,352586;48,584333;937,350833;123,893666
2022-07-09 02:00:00.000;15,978793;48,448166;935,826666;124,287796
2022-07-09 03:00:00.000;15,58362;48,3405;934,174666;124,698
2022-07-09 04:00:00.000;15,442068;48,251666;932,444;125,033
2022-07-09 05:00:00.000;15,430689;48,185833;931,560166;125,295084
2022-07-09 06:00:00.000;15,406379;48,143166;930,91;125,1745
2022-07-09 07:00:00.000;16,06;48,153833;931,550333;125,217118
2022-07-09 08:00:00.000;16,264482;48,232666;932,9545;124,9725
2022-07-09 09:00:00.000;18,797758;48,410833;936,5815;123,352333
2022-07-09 10:00:00.000;21,687413;48,709333;942,5465;121,611694
2022-07-09 11:00:00.000;22,599482;49,1135;949,129666;121,003166
2022-07-09 12:00:00.000;22,503103;49,383333;951,14;120,355423
2022-07-09 13:00:00.000;21,836551;49,639;952,389;119,493833
2022-07-09 14:00:00.000;21,645;49,783666;952,029166;118,435423
2022-07-09 15:00:00.000;20,849655;49,860169;950,870169;118,0115
2022-07-09 16:00:00.000;20,550689;49,945833;950,960333;117,777333
2022-07-09 17:00:00.000;19,621896;50,054333;949,741333;117,945084
2022-07-09 18:00:00.000;18,879827;50,082333;947,595166;118,1055
2022-07-09 19:00:00.000;18,567931;50,054666;945,453;118,187288
2022-07-09 20:00:00.000;18,14362;49,9775;943,467;118,393
2022-07-09 21:00:00.000;17,486896;49,893666;941,730166;118,660833
2022-07-09 22:00:00.000;17,011724;49,806333;939,787333;118,95
2022-07-09 23:00:00.000;16,557931;49,7075;937,51;119,177166
2022-07-10 00:00:00.000;16,101034;49,640677;935,894067;119,287118
2022-07-10 01:00:00.000;15,687241;49,559;934,1175;119,2925
2022-07-10 02:00:00.000;14,975689;49,464666;932,724333;119,542881
2022-07-10 03:00:00.000;14,422931;49,347;931,174166;119,916833
2022-07-10 04:00:00.000;13,986896;49,178666;928,9795;120,371833
2022-07-10 05:00:00.000;13,673103;49,042666;927,429833;120,420338
2022-07-10 06:00:00.000;13,81;48,935666;926,798333;120,1325
2022-07-10 07:00:00.000;14,303448;48,861;926,7375;120,074915
2022-07-10 08:00:00.000;16,695;48,888333;928,921;119,269
2022-07-10 09:00:00.000;20,267413;49,1075;935,526166;116,941166
2022-07-10 10:00:00.000;24,936206;49,57;947,216833;115,525762
2022-07-10 11:00:00.000;26,551379;50,053;957,461666;114,905833
2022-07-10 12:00:00.000;23,927758;50,1655;959,248166;114,635932
2022-07-10 13:00:00.000;22,176551;50,1645;959,392333;114,386833
2022-07-10 14:00:00.000;21,940344;50,143;958,358833;113,852542
2022-07-10 15:00:00.000;21,522413;50,170169;958,206101;113,7955
2022-07-10 16:00:00.000;20,763103;50,215;957,532166;113,713833
2022-07-10 17:00:00.000;19,997586;50,1975;956,356166;113,792033
2022-07-10 18:00:00.000;19,638793;50,218666;955,124666;114,104833
2022-07-10 19:00:00.000;19,076724;50,142666;952,513833;114,595254
2022-07-10 20:00:00.000;18,377068;50,032166;950,047166;115,13
2022-07-10 21:00:00.000;16,786724;49,891333;947,072666;115,611333
2022-07-10 22:00:00.000;16,667586;49,730166;943,816833;116,178644
2022-07-10 23:00:00.000;16,494827;49,576333;940,604;116,695833
2022-07-11 00:00:00.000;16,286379;49,401525;937,200677;117,249322
2022-07-11 01:00:00.000;15,898793;49,251833;935,639;117,459333
2022-07-11 02:00:00.000;15,311724;49,138666;934,484;117,515254
2022-07-11 03:00:00.000;14,775517;49,024833;932,887666;117,6805
2022-07-11 04:00:00.000;14,265;48,912;931,281;117,999166
2022-07-11 05:00:00.000;13,83;48,791833;929,738;117,437288
